time,pm_1,pm_25,pm_10,pm_4
2024-05-27 13:41:59,1.0,2.12,3.08,1.0
2024-05-27 13:42:01,1.0,2.01,3.03,1.0
2024-05-27 13:42:03,1.0,1.99,3.01,1.0
2024-05-27 13:42:06,1.0,2.27,3.26,1.0
2024-05-27 13:42:08,1.0,1.93,3.44,1.0
2024-05-27 13:42:11,1.0,2.36,3.43,1.0
2024-05-27 13:42:13,1.05,2.26,3.56,1.2
2024-05-27 13:42:15,1.47,3.06,3.88,1.68
2024-05-27 13:42:18,1.59,2.96,3.93,1.82
2024-05-27 13:42:20,1.62,3.25,4.27,1.86
2024-05-27 13:42:23,1.61,3.14,4.15,1.85
2024-05-27 13:42:25,1.59,2.99,3.97,1.83
2024-05-27 13:42:27,1.56,3.22,4.16,1.79
2024-05-27 13:42:30,1.51,2.87,4.25,1.74
2024-05-27 13:42:32,1.49,2.67,4.03,1.71
2024-05-27 13:42:35,1.42,2.66,3.94,1.64
2024-05-27 13:42:37,1.4,2.99,3.73,1.61
2024-05-27 13:42:39,1.36,2.68,3.87,1.57
2024-05-27 13:42:42,1.32,2.89,4.04,1.52
2024-05-27 13:42:44,1.3,2.75,3.88,1.5
2024-05-27 13:42:46,1.27,2.45,3.53,1.46
2024-05-27 13:42:49,1.27,2.48,3.56,1.46
2024-05-27 13:42:51,1.27,2.48,3.57,1.46
2024-05-27 13:42:54,1.3,2.68,3.8,1.49
2024-05-27 13:42:56,1.33,2.49,3.65,1.54
2024-05-27 13:42:58,1.36,2.65,3.84,1.56
2024-05-27 13:43:01,1.39,2.9,3.62,1.59
2024-05-27 13:43:03,1.46,2.97,3.78,1.68
2024-05-27 13:43:06,1.57,2.82,4.27,1.8
2024-05-27 13:43:08,1.62,3.27,4.28,1.86
2024-05-27 13:43:10,1.63,2.83,4.35,1.87
2024-05-27 13:43:13,1.63,2.81,4.32,1.86
2024-05-27 13:43:15,1.65,3.0,4.04,1.89
2024-05-27 13:43:18,1.76,3.33,4.49,2.0
2024-05-27 13:43:20,1.83,3.38,4.12,2.08
2024-05-27 13:43:22,1.87,3.23,4.52,2.13
2024-05-27 13:43:25,1.88,3.25,4.54,2.13
2024-05-27 13:43:27,1.85,3.05,4.31,2.1
2024-05-27 13:43:30,1.85,3.04,4.29,2.09
2024-05-27 13:43:32,1.91,3.56,4.39,2.17
2024-05-27 13:43:34,1.98,3.57,4.48,2.24
2024-05-27 13:43:37,1.99,3.67,4.58,2.25
2024-05-27 13:43:39,1.98,3.6,4.5,2.23
2024-05-27 13:43:42,1.99,3.18,4.59,2.24
2024-05-27 13:43:44,1.98,3.62,4.52,2.23
2024-05-27 13:43:46,1.93,3.17,4.49,2.16
2024-05-27 13:43:49,1.93,3.2,4.51,2.16
2024-05-27 13:43:51,1.9,3.5,4.29,2.13
2024-05-27 13:43:54,1.87,3.25,4.49,2.09
2024-05-27 13:43:56,1.83,3.42,4.1,2.04
2024-05-27 13:43:58,1.8,3.2,4.35,2.01
2024-05-27 13:44:01,1.76,3.39,3.99,1.97
2024-05-27 13:44:03,1.7,2.89,4.41,1.89
2024-05-27 13:44:06,1.67,3.14,4.13,1.86
2024-05-27 13:44:08,1.64,2.96,3.92,1.83
2024-05-27 13:44:10,1.65,3.0,3.96,1.83
2024-05-27 13:44:13,1.61,3.21,4.12,1.79
2024-05-27 13:44:15,1.56,2.84,4.19,1.74
2024-05-27 13:44:18,1.57,2.85,4.21,1.74
2024-05-27 13:44:20,1.57,2.9,4.26,1.74
2024-05-27 13:44:22,1.57,2.87,4.22,1.74
2024-05-27 13:44:25,1.6,3.11,4.01,1.77
2024-05-27 13:44:27,1.66,3.11,4.08,1.84
2024-05-27 13:44:30,1.7,2.89,3.9,1.88
2024-05-27 13:44:32,1.77,2.97,4.07,1.96
2024-05-27 13:44:34,1.84,3.49,4.16,2.04
2024-05-27 13:44:37,1.94,3.3,4.6,2.15
2024-05-27 13:44:39,2.01,3.37,4.74,2.23
2024-05-27 13:44:42,2.03,3.5,4.4,2.25
2024-05-27 13:44:44,2.01,3.36,4.74,2.23
2024-05-27 13:44:46,1.94,3.32,4.61,2.15
2024-05-27 13:44:49,1.85,3.11,4.29,2.05
2024-05-27 13:44:51,1.68,3.29,4.28,1.86
2024-05-27 13:44:54,1.6,3.13,4.02,1.77
2024-05-27 13:44:56,1.5,2.86,4.14,1.66
2024-05-27 13:44:58,1.46,2.99,3.71,1.61
2024-05-27 13:45:01,1.42,2.7,3.87,1.57
2024-05-27 13:45:03,1.38,2.91,3.54,1.53
2024-05-27 13:45:06,1.56,2.81,4.15,1.73
2024-05-27 13:45:08,1.65,3.01,3.95,1.82
2024-05-27 13:45:10,1.59,3.08,3.96,1.76
2024-05-27 13:45:13,1.55,2.7,4.03,1.71
2024-05-27 13:45:15,1.45,2.98,3.69,1.61
2024-05-27 13:45:18,1.39,3.01,3.66,1.54
2024-05-27 13:45:20,1.36,2.71,3.8,1.5
2024-05-27 13:45:22,1.31,2.86,3.91,1.45
2024-05-27 13:45:25,1.21,2.53,3.45,1.33
2024-05-27 13:45:27,1.17,2.72,3.59,1.29
2024-05-27 13:45:30,1.12,2.35,3.67,1.23
2024-05-27 13:45:32,1.03,2.17,3.38,1.14
2024-05-27 13:45:34,1.0,2.28,3.44,1.08
2024-05-27 13:45:37,1.0,2.2,3.27,1.0
2024-05-27 13:45:39,1.0,2.43,3.46,1.0
2024-05-27 13:45:42,1.0,2.11,3.09,1.0
2024-05-27 13:45:44,1.0,2.34,3.28,1.0
2024-05-27 13:45:46,1.0,1.95,3.4,1.0
2024-05-27 13:45:49,1.0,2.06,3.03,1.0
2024-05-27 13:45:51,1.0,2.03,3.0,1.0
2024-05-27 13:45:54,1.0,2.34,3.28,1.0
2024-05-27 13:45:56,1.0,2.17,3.09,1.0
2024-05-27 13:45:58,1.0,2.18,3.1,1.0
2024-05-27 13:46:01,1.0,2.19,3.11,1.0
2024-05-27 13:46:03,1.0,2.33,3.27,1.0
2024-05-27 13:46:06,1.0,2.3,3.23,1.0
2024-05-27 13:46:08,1.0,1.91,3.29,1.0
2024-05-27 13:46:10,1.0,2.21,3.07,1.0
2024-05-27 13:46:13,1.0,1.82,3.19,1.0
2024-05-27 13:46:15,1.0,2.07,2.97,1.0
2024-05-27 13:46:18,1.0,2.07,3.04,1.0
2024-05-27 13:46:20,1.0,2.24,3.25,1.0
2024-05-27 13:46:22,1.0,2.29,3.3,1.0
2024-05-27 13:46:25,1.0,2.05,3.02,1.0
2024-05-27 13:46:27,1.0,2.31,3.24,1.0
2024-05-27 13:46:30,1.0,2.03,2.92,1.0
2024-05-27 13:46:32,1.0,2.11,3.02,1.0
2024-05-27 13:46:34,1.0,2.2,3.11,1.0
2024-05-27 13:46:37,1.0,2.1,3.0,1.0
2024-05-27 13:46:39,1.0,1.98,2.87,1.0
2024-05-27 13:46:42,1.0,2.22,3.07,1.0
2024-05-27 13:46:44,1.0,2.25,3.1,1.0
2024-05-27 13:46:46,1.0,1.93,3.31,1.0
2024-05-27 13:46:49,1.0,2.16,3.07,1.0
2024-05-27 13:46:51,1.0,1.96,2.91,1.0
2024-05-27 13:46:54,1.0,2.26,3.26,1.0
2024-05-27 13:46:56,1.0,1.99,3.02,1.0
2024-05-27 13:46:58,1.0,2.34,3.43,1.02
2024-05-27 13:47:01,1.0,2.48,3.09,1.04
2024-05-27 13:47:03,1.0,2.2,3.34,1.07
2024-05-27 13:47:06,1.01,2.47,3.15,1.11
2024-05-27 13:47:08,1.01,2.48,3.16,1.11
2024-05-27 13:47:10,1.02,2.56,3.25,1.12
2024-05-27 13:47:13,1.01,2.51,3.2,1.11
2024-05-27 13:47:15,1.0,2.27,3.42,1.08
2024-05-27 13:47:18,1.0,2.4,3.49,1.02
2024-05-27 13:47:20,1.0,2.1,3.14,1.0
2024-05-27 13:47:22,1.0,2.01,2.97,1.0
2024-05-27 13:47:25,1.0,2.29,3.22,1.0
2024-05-27 13:47:27,1.0,1.99,2.87,1.0
2024-05-27 13:47:30,1.0,2.26,3.1,1.0
2024-05-27 13:47:32,1.0,1.84,3.2,1.0
2024-05-27 13:47:34,1.0,1.91,3.28,1.0
2024-05-27 13:47:37,1.0,2.01,2.9,1.0
2024-05-27 13:47:39,1.0,2.1,3.0,1.0
2024-05-27 13:47:44,1.0,2.23,3.22,1.0
2024-05-27 13:47:46,1.0,2.44,3.53,1.03
2024-05-27 13:47:49,1.0,2.16,3.29,1.06
2024-05-27 13:47:51,1.03,2.13,3.32,1.13
2024-05-27 13:47:54,1.05,2.29,3.52,1.15
2024-05-27 13:47:56,1.05,2.32,3.54,1.15
2024-05-27 13:47:58,1.02,2.57,3.26,1.12
2024-05-27 13:48:01,1.0,2.35,3.51,1.09
2024-05-27 13:48:03,1.0,2.17,3.3,1.06
2024-05-27 13:48:06,1.0,2.42,3.51,1.03
2024-05-27 13:48:08,1.0,2.16,3.22,1.0
2024-05-27 13:48:10,1.0,2.33,3.34,1.0
2024-05-27 13:48:13,1.0,2.14,3.12,1.0
2024-05-27 13:48:15,1.0,2.34,3.27,1.0
