time,pm_1,pm_25,pm_10,pm_4
2024-06-28 16:45:51,1.93,3.25,4.55,2.15
2024-06-28 16:45:53,1.94,3.3,4.61,2.16
2024-06-28 16:45:55,1.96,3.46,4.29,2.18
2024-06-28 16:45:58,2.01,3.38,4.27,2.24
2024-06-28 16:46:00,2.06,3.25,4.71,2.3
2024-06-28 16:46:03,2.13,3.79,4.75,2.32
2024-06-28 16:46:05,2.19,3.8,4.8,2.36
2024-06-28 16:46:07,2.26,3.85,4.9,2.42
2024-06-28 16:46:10,2.28,3.54,4.62,2.45
2024-06-28 16:46:12,2.29,3.61,4.7,2.45
2024-06-28 16:46:15,2.29,3.64,4.75,2.47
2024-06-28 16:46:17,2.22,3.58,4.62,2.4
2024-06-28 16:46:19,2.17,3.63,4.62,2.35
2024-06-28 16:46:22,2.17,3.63,4.59,2.33
2024-06-28 16:46:24,2.15,3.53,4.45,2.3
2024-06-28 16:46:27,2.05,3.25,4.54,2.18
2024-06-28 16:46:29,2.05,3.22,4.51,2.18
2024-06-28 16:46:31,2.16,3.62,4.56,2.32
2024-06-28 16:46:34,2.24,3.69,4.73,2.4
2024-06-28 16:46:36,2.24,3.72,4.77,2.41
2024-06-28 16:46:38,2.2,3.42,4.45,2.39
2024-06-28 16:46:41,2.17,3.64,4.64,2.36
2024-06-28 16:46:43,2.05,3.7,4.58,2.24
2024-06-28 16:46:46,1.97,3.55,4.33,2.15
2024-06-28 16:46:48,1.96,3.48,4.27,2.15
2024-06-28 16:46:50,2.02,3.44,4.3,2.22
2024-06-28 16:46:53,2.11,3.66,4.64,2.33
2024-06-28 16:46:55,2.32,3.77,5.0,2.56
2024-06-28 16:46:58,2.46,3.9,4.81,2.73
2024-06-28 16:47:00,2.56,4.17,5.2,2.84
2024-06-28 16:47:02,2.63,4.23,5.37,2.93
2024-06-28 16:47:05,2.6,3.99,5.1,2.9
2024-06-28 16:47:07,2.64,4.29,5.45,2.95
2024-06-28 16:47:10,2.68,4.13,5.35,3.01
2024-06-28 16:47:12,2.78,4.36,5.2,3.12
2024-06-28 16:47:14,2.91,4.36,5.35,3.26
2024-06-28 16:47:17,3.06,4.54,5.72,3.43
2024-06-28 16:47:19,3.3,4.92,5.9,3.71
2024-06-28 16:47:22,3.36,4.95,6.01,3.79
2024-06-28 16:47:24,3.43,4.95,6.1,3.87
2024-06-28 16:47:26,3.45,5.12,6.31,3.9
2024-06-28 16:47:29,3.42,4.88,6.04,3.87
2024-06-28 16:47:31,3.33,5.14,6.19,3.77
2024-06-28 16:47:34,3.3,4.92,5.95,3.74
2024-06-28 16:47:36,3.34,4.72,6.29,3.79
2024-06-28 16:47:38,3.38,5.06,6.19,3.84
2024-06-28 16:47:41,3.39,5.09,6.23,3.84
2024-06-28 16:47:43,3.32,5.08,6.14,3.77
2024-06-28 16:47:46,3.33,5.14,6.2,3.78
2024-06-28 16:47:48,3.3,4.89,5.91,3.74
2024-06-28 16:47:50,3.25,5.06,6.03,3.69
2024-06-28 16:47:53,3.33,5.13,6.19,3.77
2024-06-28 16:47:55,3.38,5.09,6.21,3.83
2024-06-28 16:47:58,3.47,5.29,6.02,3.93
2024-06-28 16:48:00,25.54,29.1,31.44,28.78
2024-06-28 16:48:02,15.44,18.35,19.9,17.34
2024-06-28 16:48:05,6.86,8.94,10.13,7.67
2024-06-28 16:48:07,5.21,6.98,8.18,5.81
2024-06-28 16:48:10,4.02,5.68,6.96,4.48
2024-06-28 16:48:12,3.45,5.18,6.26,3.83
2024-06-28 16:48:14,3.07,4.69,5.82,3.4
2024-06-28 16:48:17,3.0,4.61,5.64,3.31
2024-06-28 16:48:19,2.97,4.39,5.38,3.28
2024-06-28 16:48:22,2.99,4.55,5.57,3.3
2024-06-28 16:48:24,2.98,4.5,5.49,3.29
2024-06-28 16:48:26,2.99,4.54,5.54,3.29
2024-06-28 16:48:29,2.99,4.6,5.61,3.3
2024-06-28 16:48:31,3.02,4.34,5.39,3.33
2024-06-28 16:48:34,3.03,4.4,5.46,3.34
2024-06-28 16:48:36,2.98,4.49,5.49,3.28
2024-06-28 16:48:39,2.94,4.66,5.6,3.23
2024-06-28 16:48:41,2.92,4.5,5.41,3.21
2024-06-28 16:48:43,2.92,4.57,5.49,3.22
2024-06-28 16:48:46,2.94,4.66,5.59,3.22
2024-06-28 16:48:48,2.94,4.2,5.63,3.23
2024-06-28 16:48:50,2.92,4.5,5.4,3.2
2024-06-28 16:48:53,2.9,4.38,5.26,3.18
2024-06-28 16:48:55,2.87,4.17,5.51,3.15
2024-06-28 16:48:58,2.75,4.22,5.41,3.01
2024-06-28 16:49:00,2.75,4.23,5.42,3.01
2024-06-28 16:49:03,7.56,9.15,10.39,8.26
2024-06-28 16:49:05,6.82,8.78,9.65,7.43
2024-06-28 16:49:07,5.68,7.36,8.41,6.19
2024-06-28 16:49:10,5.42,7.26,8.0,5.89
2024-06-28 16:49:12,5.21,6.65,8.15,5.67
2024-06-28 16:49:15,5.02,6.61,7.88,5.46
2024-06-28 16:49:17,4.79,6.32,7.33,5.21
2024-06-28 16:49:19,4.63,6.02,7.33,5.02
2024-06-28 16:49:22,4.42,5.86,6.93,4.79
2024-06-28 16:49:24,4.28,5.77,6.68,4.64
2024-06-28 16:49:26,7.76,9.77,10.65,8.41
2024-06-28 16:49:29,8.42,10.46,11.59,9.12
