,Air measurement,Tree number_x,Air-tree ID,Distance_to_tree,objectid,lat,lon,Tree_within_d_(default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
711,0,73,0_73,34.46891035782433,77761,51.46440559625636,-0.0157407000659809,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.5,4.0,4.0,,20201127,20210218
818,0,74,0_74,30.88432419302103,77766,51.46441579610124,-0.0158122032880604,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1822,0,270,0_270,23.43426965191414,274589,51.46467689424766,-0.0163624063134275,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
925,0,77,0_77,27.772940016963283,77789,51.46442599594608,-0.015883706510073,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1031,0,81,0_81,31.714625085394765,77820,51.46457389742149,-0.0155894011258687,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,1  Mature,Mature(31-80),13.0,17.7,76.0,,20201127,20210218
1743,0,189,0_189,42.304285697093874,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1147,0,86,0_86,44.76496467051794,77878,51.46438449621209,-0.0155544057488221,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1273,0,87,0_87,37.73739463949448,77880,51.46439569443475,-0.0156835019588601,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,4.0,,20201127,20210218
1628,0,102,0_102,31.737163924730076,252529,51.46454719454052,-0.015604905784135,True,Lewisham,Hornbeam,Hornbeam,Carpinus betulus,1  Mature,Mature(31-80),,,,,20201127,20210218
1383,0,95,0_95,48.449093458257025,78001,51.46456079930069,-0.0153452008962065,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,Semi  Mature,Early Mature(16-30),6.3,9.6,25.0,,20201127,20210218
165,0,63,0_63,29.163139899220862,76289,51.464496999979154,-0.0163558050989746,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
80,0,62,0_62,32.92106081357206,76288,51.46451639384044,-0.0164413005113676,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1508,0,99,0_99,42.38205486047459,79483,51.46457129716888,-0.0154311060905328,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,Semi  Mature,Early Mature(16-30),5.4,6.9,16.5,,20201127,20210218
2253,1,415,1_415,31.777023377418896,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
1148,1,86,1_86,44.529936381348705,77878,51.46438449621209,-0.0155544057488221,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
511,1,68,1_68,23.976836976920872,76295,51.46445689350369,-0.0161128044128543,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,4.0,,20201127,20210218
81,1,62,1_62,33.81330647732793,76288,51.46451639384044,-0.0164413005113676,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
254,1,64,1_64,26.849793519127058,76290,51.46446809917701,-0.0162418037653031,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
447,1,67,1_67,46.236571293253505,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
2003,1,272,1_272,41.85763284625921,274591,51.46453549712898,-0.0154471024870588,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1744,1,189,1_189,43.16655294757801,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
2126,1,273,1_273,48.53900898498303,274592,51.46453379839659,-0.0153464004396815,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
1823,1,270,1_270,24.16336284233992,274589,51.46467689424766,-0.0163624063134275,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
1629,1,102,1_102,31.223694636144987,252529,51.46454719454052,-0.015604905784135,True,Lewisham,Hornbeam,Hornbeam,Carpinus betulus,1  Mature,Mature(31-80),,,,,20201127,20210218
1032,1,81,1_81,31.130434574382626,77820,51.46457389742149,-0.0155894011258687,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,1  Mature,Mature(31-80),13.0,17.7,76.0,,20201127,20210218
346,1,65,1_65,25.1836547120268,76292,51.46443719416868,-0.0160128027200441,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
819,1,74,1_74,30.935179392691673,77766,51.46441579610124,-0.0158122032880604,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1,1,2,1_2,41.26869304451989,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
712,1,73,1_73,34.41965346615981,77761,51.46440559625636,-0.0157407000659809,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.5,4.0,4.0,,20201127,20210218
1384,1,95,1_95,47.8125993551844,78001,51.46456079930069,-0.0153452008962065,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,Semi  Mature,Early Mature(16-30),6.3,9.6,25.0,,20201127,20210218
1911,1,271,1_271,15.484251720951367,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
166,1,63,1_63,30.04920500648673,76289,51.464496999979154,-0.0163558050989746,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
926,1,77,1_77,27.94668338553541,77789,51.46442599594608,-0.015883706510073,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
609,1,69,1_69,26.60087053084257,76313,51.46442729979773,-0.0159557014703117,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1274,1,87,1_87,37.62535448555887,77880,51.46439569443475,-0.0156835019588601,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,4.0,,20201127,20210218
1509,1,99,1_99,41.74928266423565,79483,51.46457129716888,-0.0154311060905328,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,Semi  Mature,Early Mature(16-30),5.4,6.9,16.5,,20201127,20210218
1630,2,102,2_102,30.72759551122595,252529,51.46454719454052,-0.015604905784135,True,Lewisham,Hornbeam,Hornbeam,Carpinus betulus,1  Mature,Mature(31-80),,,,,20201127,20210218
713,2,73,2_73,34.393513859768035,77761,51.46440559625636,-0.0157407000659809,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.5,4.0,4.0,,20201127,20210218
2,2,2,2_2,42.13543872157728,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
1824,2,270,2_270,24.90312595079923,274589,51.46467689424766,-0.0163624063134275,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
610,2,69,2_69,26.951510929786956,76313,51.46442729979773,-0.0159557014703117,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1033,2,81,2_81,30.561167440319785,77820,51.46457389742149,-0.0155894011258687,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,1  Mature,Mature(31-80),13.0,17.7,76.0,,20201127,20210218
82,2,62,2_62,34.70558479375565,76288,51.46451639384044,-0.0164413005113676,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
2254,2,415,2_415,32.47410826656927,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
167,2,63,2_63,30.935662066780324,76289,51.464496999979154,-0.0163558050989746,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
255,2,64,2_64,27.673935389411508,76290,51.46446809917701,-0.0162418037653031,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
448,2,67,2_67,47.07687337199012,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1912,2,271,2_271,16.321558223847923,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
2004,2,272,2_272,41.301219844397714,274591,51.46453549712898,-0.0154471024870588,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1275,2,87,2_87,37.53422617986129,77880,51.46439569443475,-0.0156835019588601,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,4.0,,20201127,20210218
1745,2,189,2_189,44.03004048640317,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
820,2,74,2_74,31.01166962672126,77766,51.46441579610124,-0.0158122032880604,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
347,2,65,2_65,25.652192435980236,76292,51.46443719416868,-0.0160128027200441,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1385,2,95,2_95,47.1844163718157,78001,51.46456079930069,-0.0153452008962065,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,Semi  Mature,Early Mature(16-30),6.3,9.6,25.0,,20201127,20210218
1510,2,99,2_99,41.12616102818494,79483,51.46457129716888,-0.0154311060905328,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,Semi  Mature,Early Mature(16-30),5.4,6.9,16.5,,20201127,20210218
1149,2,86,2_86,44.311656455627265,77878,51.46438449621209,-0.0155544057488221,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
512,2,68,2_68,24.643294527837263,76295,51.46445689350369,-0.0161128044128543,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,4.0,,20201127,20210218
2127,2,273,2_273,47.950581063285554,274592,51.46453379839659,-0.0153464004396815,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
927,2,77,2_77,28.147691050264605,77789,51.46442599594608,-0.015883706510073,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1276,3,87,3_87,37.46416231891721,77880,51.46439569443475,-0.0156835019588601,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,4.0,,20201127,20210218
714,3,73,3_73,34.39054424890383,77761,51.46440559625636,-0.0157407000659809,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.5,4.0,4.0,,20201127,20210218
1746,3,189,3_189,44.89467789895422,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
2255,3,415,3_415,33.1805766401602,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
928,3,77,3_77,28.37538360288815,77789,51.46442599594608,-0.015883706510073,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1386,3,95,3_95,46.564880869679534,78001,51.46456079930069,-0.0153452008962065,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,Semi  Mature,Early Mature(16-30),6.3,9.6,25.0,,20201127,20210218
1913,3,271,3_271,17.16446754255808,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
2005,3,272,3_272,40.75677346506005,274591,51.46453549712898,-0.0154471024870588,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1150,3,86,3_86,44.110373529498595,77878,51.46438449621209,-0.0155544057488221,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
449,3,67,3_67,47.91907712756346,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
168,3,63,3_63,31.822478321280006,76289,51.464496999979154,-0.0163558050989746,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
3,3,2,3_2,43.003253761109406,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
83,3,62,3_62,35.59789330402337,76288,51.46451639384044,-0.0164413005113676,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1631,3,102,3_102,30.24972117614562,252529,51.46454719454052,-0.015604905784135,True,Lewisham,Hornbeam,Hornbeam,Carpinus betulus,1  Mature,Mature(31-80),,,,,20201127,20210218
2128,3,273,3_273,47.37167452028334,274592,51.46453379839659,-0.0153464004396815,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
1825,3,270,3_270,25.65263589981057,274589,51.46467689424766,-0.0163624063134275,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
348,3,65,3_65,26.142837834769107,76292,51.46443719416868,-0.0160128027200441,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1034,3,81,3_81,30.007673012232527,77820,51.46457389742149,-0.0155894011258687,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,1  Mature,Mature(31-80),13.0,17.7,76.0,,20201127,20210218
1511,3,99,3_99,40.513135249412954,79483,51.46457129716888,-0.0154311060905328,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,Semi  Mature,Early Mature(16-30),5.4,6.9,16.5,,20201127,20210218
513,3,68,3_68,25.323698341317208,76295,51.46445689350369,-0.0161128044128543,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,4.0,,20201127,20210218
611,3,69,3_69,27.32683758356599,76313,51.46442729979773,-0.0159557014703117,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
256,3,64,3_64,28.50221857696936,76290,51.46446809917701,-0.0162418037653031,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
821,3,74,3_74,31.11360582762742,77766,51.46441579610124,-0.0158122032880604,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1512,4,99,4_99,41.15370448366365,79483,51.46457129716888,-0.0154311060905328,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,Semi  Mature,Early Mature(16-30),5.4,6.9,16.5,,20201127,20210218
1632,4,102,4_102,30.664699948454118,252529,51.46454719454052,-0.015604905784135,True,Lewisham,Hornbeam,Hornbeam,Carpinus betulus,1  Mature,Mature(31-80),,,,,20201127,20210218
1747,4,189,4_189,43.75547881824307,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
257,4,64,4_64,27.211850755585655,76290,51.46446809917701,-0.0162418037653031,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1277,4,87,4_87,37.25121261485447,77880,51.46439569443475,-0.0156835019588601,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,4.0,,20201127,20210218
2006,4,272,4_272,41.27980056346938,274591,51.46453549712898,-0.0154471024870588,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1035,4,81,4_81,30.548455721446704,77820,51.46457389742149,-0.0155894011258687,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,1  Mature,Mature(31-80),13.0,17.7,76.0,,20201127,20210218
822,4,74,4_74,30.658497478992444,77766,51.46441579610124,-0.0158122032880604,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
349,4,65,4_65,25.18471141677438,76292,51.46443719416868,-0.0160128027200441,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1914,4,271,4_271,16.08820746312349,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
2129,4,273,4_273,47.9522753694485,274592,51.46453379839659,-0.0153464004396815,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
1151,4,86,4_86,44.089693430207106,77878,51.46438449621209,-0.0155544057488221,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
169,4,63,4_63,30.532860115875675,76289,51.464496999979154,-0.0163558050989746,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
450,4,67,4_67,46.83837756300311,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1387,4,95,4_95,47.21596809163047,78001,51.46456079930069,-0.0153452008962065,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,Semi  Mature,Early Mature(16-30),6.3,9.6,25.0,,20201127,20210218
84,4,62,4_62,34.350166375770186,76288,51.46451639384044,-0.0164413005113676,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
612,4,69,4_69,26.5101977942765,76313,51.46442729979773,-0.0159557014703117,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
715,4,73,4_73,34.08189103643808,77761,51.46440559625636,-0.0157407000659809,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.5,4.0,4.0,,20201127,20210218
929,4,77,4_77,27.750146754379365,77789,51.46442599594608,-0.015883706510073,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1826,4,270,4_270,24.77624921111836,274589,51.46467689424766,-0.0163624063134275,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
4,4,2,4_2,41.85502972041923,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
2256,4,415,4_415,32.385324118284444,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
514,4,68,4_68,24.15513780354766,76295,51.46445689350369,-0.0161128044128543,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,4.0,,20201127,20210218
823,5,74,5_74,30.91750285494698,77766,51.46441579610124,-0.0158122032880604,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
85,5,62,5_62,34.244054717588384,76288,51.46451639384044,-0.0164413005113676,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1633,5,102,5_102,30.940316051690306,252529,51.46454719454052,-0.015604905784135,True,Lewisham,Hornbeam,Hornbeam,Carpinus betulus,1  Mature,Mature(31-80),,,,,20201127,20210218
2130,5,273,5_273,48.21638492357146,274592,51.46453379839659,-0.0153464004396815,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
515,5,68,5_68,24.261103951526756,76295,51.46445689350369,-0.0161128044128543,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,4.0,,20201127,20210218
350,5,65,5_65,25.3622086790984,76292,51.46443719416868,-0.0160128027200441,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1827,5,270,5_270,24.54646740318441,274589,51.46467689424766,-0.0163624063134275,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
1915,5,271,5_271,15.903847470425909,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
613,5,69,5_69,26.71893546417434,76313,51.46442729979773,-0.0159557014703117,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1513,5,99,5_99,41.4117725092423,79483,51.46457129716888,-0.0154311060905328,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,Semi  Mature,Early Mature(16-30),5.4,6.9,16.5,,20201127,20210218
1388,5,95,5_95,47.473113474576394,78001,51.46456079930069,-0.0153452008962065,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,Semi  Mature,Early Mature(16-30),6.3,9.6,25.0,,20201127,20210218
1036,5,81,5_81,30.81534311973642,77820,51.46457389742149,-0.0155894011258687,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,1  Mature,Mature(31-80),13.0,17.7,76.0,,20201127,20210218
716,5,73,5_73,34.35278936944625,77761,51.46440559625636,-0.0157407000659809,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.5,4.0,4.0,,20201127,20210218
1278,5,87,5_87,37.527775283303,77880,51.46439569443475,-0.0156835019588601,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,4.0,,20201127,20210218
1152,5,86,5_86,44.373059206939026,77878,51.46438449621209,-0.0155544057488221,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
170,5,63,5_63,30.469063598057787,76289,51.464496999979154,-0.0163558050989746,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
930,5,77,5_77,27.98979874004072,77789,51.46442599594608,-0.015883706510073,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
2257,5,415,5_415,32.14300485788097,643030,51.46470359712849,-0.0164683014154419,True,TFL,Hornbeam,Hornbeam,Carpinus betulus,,Unknown,,,,,20180214,20210218
5,5,2,5_2,41.697494555233725,78077,51.46455479413281,-0.0165836066007253,True,Lewisham,Other,Undetermined,,,Unknown,,,,,20201127,20210218
1748,5,189,5_189,43.59451228791639,262127,51.46455529332172,-0.0166124030947715,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
258,5,64,5_64,27.2255707489456,76290,51.46446809917701,-0.0162418037653031,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
451,5,67,5_67,46.65759050990662,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
2007,5,272,5_272,41.54855859694133,274591,51.46453549712898,-0.0154471024870588,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
452,6,67,6_67,46.46063338701695,76294,51.46458319574586,-0.0166688039899032,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
1389,6,95,6_95,47.31743708025214,78001,51.46456079930069,-0.0153452008962065,True,Lewisham,Lime,Large-leaved Lime,Tilia platyphyllos,Semi  Mature,Early Mature(16-30),6.3,9.6,25.0,,20201127,20210218
