,Air measurement,Tree number_x,Air-tree ID,Distance to tree,objectid,lat,lon,Tree within d (default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
555,425,355,425_355,4.254604013815657,277383,51.46301629394297,-0.014418803155382,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
549,425,164,425_164,3.431285791577284,260202,51.46298959851271,-0.0144344046712041,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,1  Mature,Mature(31-80),,,,,20201127,20210218
556,426,355,426_355,1.7024342271473616,277383,51.46301629394297,-0.014418803155382,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
550,426,164,426_164,1.6447270779569942,260202,51.46298959851271,-0.0144344046712041,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,1  Mature,Mature(31-80),,,,,20201127,20210218
557,427,355,427_355,2.3741610555265797,277383,51.46301629394297,-0.014418803155382,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
551,427,164,427_164,3.4026863239028633,260202,51.46298959851271,-0.0144344046712041,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,1  Mature,Mature(31-80),,,,,20201127,20210218
552,428,164,428_164,6.8009752430725605,260202,51.46298959851271,-0.0144344046712041,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,1  Mature,Mature(31-80),,,,,20201127,20210218
558,428,355,428_355,4.727730436613323,277383,51.46301629394297,-0.014418803155382,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
560,428,129,428_129,7.608962196819337,254897,51.46308649331328,-0.0143150016665212,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
559,429,355,429_355,7.320159098431364,277383,51.46301629394297,-0.014418803155382,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
561,429,129,429_129,4.959410365886906,254897,51.46308649331328,-0.0143150016665212,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
553,429,164,429_164,9.759782821487999,260202,51.46298959851271,-0.0144344046712041,True,Lewisham,Sycamore,Sycamore,Acer pseudoplatanus,1  Mature,Mature(31-80),,,,,20201127,20210218
400,429,130,429_130,9.253250093421999,254898,51.46312199533002,-0.0142847001552038,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
401,430,130,430_130,6.665497826071586,254898,51.46312199533002,-0.0142847001552038,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
562,430,129,430_129,3.121017414674327,254897,51.46308649331328,-0.0143150016665212,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
366,431,21,431_21,9.701527407227296,271275,51.46314699947838,-0.0141684040427194,True,Lewisham,Other,Juneberry,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
402,431,130,431_130,4.626872944596252,254898,51.46312199533002,-0.0142847001552038,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
563,431,129,431_129,3.640156841049212,254897,51.46308649331328,-0.0143150016665212,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
403,432,130,432_130,6.232732949719634,254898,51.46312199533002,-0.0142847001552038,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
564,432,129,432_129,8.544382467969866,254897,51.46308649331328,-0.0143150016665212,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
351,432,22,432_22,8.834056641032774,271276,51.46318409591919,-0.0142388045787794,True,Lewisham,Other,Juneberry,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
367,432,21,432_21,4.67157076009581,271275,51.46314699947838,-0.0141684040427194,True,Lewisham,Other,Juneberry,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
352,433,22,433_22,9.022272608004437,271276,51.46318409591919,-0.0142388045787794,True,Lewisham,Other,Juneberry,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
404,433,130,433_130,9.826801812102518,254898,51.46312199533002,-0.0142847001552038,True,Lewisham,Birch,Birch,Betula,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
368,433,21,433_21,2.650771247246159,271275,51.46314699947838,-0.0141684040427194,True,Lewisham,Other,Juneberry,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
369,434,21,434_21,5.792259463452766,271275,51.46314699947838,-0.0141684040427194,True,Lewisham,Other,Juneberry,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
332,434,256,434_256,8.085710939185134,272583,51.46308139711631,-0.0140129029750708,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
340,434,255,434_255,5.977311539934778,272582,51.46316229552039,-0.0140094012021348,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
370,435,21,435_21,8.82542999064481,271275,51.46314699947838,-0.0141684040427194,True,Lewisham,Other,Juneberry,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
341,435,255,435_255,4.789232949183368,272582,51.46316229552039,-0.0140094012021348,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
333,435,256,435_256,5.438256504188414,272583,51.46308139711631,-0.0140129029750708,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
334,436,256,436_256,2.9841216511701334,272583,51.46308139711631,-0.0140129029750708,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
342,436,255,436_255,6.0295420114623335,272582,51.46316229552039,-0.0140094012021348,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
335,437,256,437_256,3.299779881871717,272583,51.46308139711631,-0.0140129029750708,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
343,437,255,437_255,9.342442288507119,272582,51.46316229552039,-0.0140094012021348,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
323,437,142,437_142,8.706145087305547,256091,51.46300799399626,-0.0139297023415241,True,Lewisham,Alder,A Flowering Plant,Amelanchier,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
336,438,256,438_256,7.151231529337258,272583,51.46308139711631,-0.0140129029750708,True,Lewisham,Cherry,Flowering Cherry,Prunus,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
324,438,142,438_142,5.60838158600066,256091,51.46300799399626,-0.0139297023415241,True,Lewisham,Alder,A Flowering Plant,Amelanchier,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
325,439,142,439_142,5.037753103437061,256091,51.46300799399626,-0.0139297023415241,True,Lewisham,Alder,A Flowering Plant,Amelanchier,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
297,440,341,440_341,7.191173649373153,276697,51.46295189857495,-0.0138026028871508,True,Lewisham,Ash,Ash,Fraxinus excelsior,1  Mature,Mature(31-80),,,,,20201127,20210218
326,440,142,440_142,6.166238851607467,256091,51.46300799399626,-0.0139297023415241,True,Lewisham,Alder,A Flowering Plant,Amelanchier,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
298,441,341,441_341,5.932173183234456,276697,51.46295189857495,-0.0138026028871508,True,Lewisham,Ash,Ash,Fraxinus excelsior,1  Mature,Mature(31-80),,,,,20201127,20210218
327,441,142,441_142,7.574289380841791,256091,51.46300799399626,-0.0139297023415241,True,Lewisham,Alder,A Flowering Plant,Amelanchier,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
260,442,25,442_25,7.788016901594396,273027,51.46291519701475,-0.0137610062955844,True,Lewisham,Other,Sweet Gum,,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
299,442,341,442_341,3.747728666920025,276697,51.46295189857495,-0.0138026028871508,True,Lewisham,Ash,Ash,Fraxinus excelsior,1  Mature,Mature(31-80),,,,,20201127,20210218
