,Air measurement,Tree number_x,Air-tree ID,Distance_to_tree,objectid,lat,lon,Tree_within_d_(default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
0,0,271,0_271,14.653508516197416,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
1,1,271,1_271,15.484251720951367,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
2,2,271,2_271,16.321558223847923,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
3,3,271,3_271,17.16446754255808,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
4,4,271,4_271,16.08820746312349,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
5,5,271,5_271,15.903847470425909,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
6,6,271,6_271,15.730447268207596,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
7,7,271,7_271,15.599801636288829,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
8,8,271,8_271,16.685511333421864,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
9,9,271,9_271,16.82748863141386,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
10,10,271,10_271,16.983995967206543,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
11,11,271,11_271,17.154635658896343,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
12,12,271,12_271,18.571308132461727,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
76,13,68,13_68,19.70905496793946,76295,51.46445689350369,-0.0161128044128543,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,4.0,,20201127,20210218
66,13,65,13_65,19.87032952849826,76292,51.46443719416868,-0.0160128027200441,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,3.0,,20201127,20210218
13,13,271,13_271,17.55007083124162,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
14,14,271,14_271,18.02087125970801,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
15,15,271,15_271,17.46926690398409,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
77,16,68,16_68,19.886541582410526,76295,51.46445689350369,-0.0161128044128543,True,Lewisham,Pear,A Flowering Plant,Amelanchier,1  Young,Young(0-15),2.0,4.0,4.0,,20201127,20210218
16,16,271,16_271,16.972759878681526,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
17,17,271,17_271,16.883599807414647,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
18,18,271,18_271,17.113778700885927,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
19,19,271,19_271,17.638078728577497,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
20,20,271,20_271,18.210287340239017,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
21,21,271,21_271,18.559955045862452,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
22,22,271,22_271,18.909634261335462,274590,51.46463879942898,-0.0162344053386939,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
