,Air measurement,Tree number_x,Air-tree ID,Distance_to_tree,objectid,lat,lon,Tree_within_d_(default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
106,679,2029,679_2029,4.655192743024903,375478,51.51884169876587,-0.133827902376647,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
111,697,2006,697_2006,1.139302080348714,375452,51.51937539875519,-0.1341420039533943,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
112,711,701,711_701,3.0673438183476107,363215,51.51979269832373,-0.1344810053705481,True,Camden,Maple,Field Maple,Acer campestre,,Unknown,,,,,20180214,20210218
113,712,701,712_701,1.4936483600429586,363215,51.51979269832373,-0.1344810053705481,True,Camden,Maple,Field Maple,Acer campestre,,Unknown,,,,,20180214,20210218
114,713,701,713_701,3.5522699774589785,363215,51.51979269832373,-0.1344810053705481,True,Camden,Maple,Field Maple,Acer campestre,,Unknown,,,,,20180214,20210218
115,745,2950,745_2950,3.8936256814971237,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
133,752,804,752_804,2.7183805974597983,364095,51.52050539851199,-0.1352504044771343,True,Camden,Maple,Norway Maple,Acer platanoides,,Unknown,,,,,20180214,20210218
134,753,804,753_804,0.4396077415391471,364095,51.52050539851199,-0.1352504044771343,True,Camden,Maple,Norway Maple,Acer platanoides,,Unknown,,,,,20180214,20210218
116,753,2950,753_2950,4.005041373856496,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
117,754,2950,754_2950,1.4976023636623947,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
135,754,804,754_804,2.365844987634679,364095,51.52050539851199,-0.1352504044771343,True,Camden,Maple,Norway Maple,Acer platanoides,,Unknown,,,,,20180214,20210218
118,755,2950,755_2950,1.0225328903541326,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
136,755,804,755_804,4.858136486239663,364095,51.52050539851199,-0.1352504044771343,True,Camden,Maple,Norway Maple,Acer platanoides,,Unknown,,,,,20180214,20210218
119,756,2950,756_2950,3.5282620152522637,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
120,757,2950,757_2950,4.587900116673222,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
121,758,2950,758_2950,3.6981370076481124,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
122,759,2950,759_2950,3.793395972162599,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
123,760,2950,760_2950,3.597867689201995,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
124,761,2950,761_2950,3.403123910021251,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
125,762,2950,762_2950,3.209307450654502,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
126,763,2950,763_2950,2.0853663197903596,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
127,764,2950,764_2950,1.9801851676215878,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
128,765,2950,765_2950,3.158007461589205,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
129,766,2950,766_2950,3.1662099942747743,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
130,768,2950,768_2950,3.1840016653514134,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
131,792,2950,792_2950,4.635583702746686,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
132,793,2950,793_2950,4.28292089561346,378051,51.52051259577277,-0.1353049054741906,True,Camden,Cherry,Hillieri Spire Cherry,Prunus x hillieri 'Spire',,Unknown,,,,,20180214,20210218
137,796,804,796_804,3.7846152619960614,364095,51.52050539851199,-0.1352504044771343,True,Camden,Maple,Norway Maple,Acer platanoides,,Unknown,,,,,20180214,20210218
138,808,1067,808_1067,4.136561649543036,368324,51.52067299932245,-0.1349870041012923,True,Camden,Hazel,Turkish Hazel,Corylus colurna,,Unknown,,,,,20180214,20210218
139,809,1067,809_1067,4.533769871313135,368324,51.52067299932245,-0.1349870041012923,True,Camden,Hazel,Turkish Hazel,Corylus colurna,,Unknown,,,,,20180214,20210218
140,812,801,812_801,3.315105873941825,364092,51.52070029824976,-0.1347855031490153,True,Camden,Maple,Norway Maple,Acer platanoides,,Unknown,,,,,20180214,20210218
142,813,279,813_279,4.941314173250509,371311,51.52076239883908,-0.1347829997537946,True,Camden,Other,Sweet Gum,,,Unknown,,,,,20180214,20210218
141,813,801,813_801,1.981429787665849,364092,51.52070029824976,-0.1347855031490153,True,Camden,Maple,Norway Maple,Acer platanoides,,Unknown,,,,,20180214,20210218
143,814,279,814_279,4.259632522327716,371311,51.52076239883908,-0.1347829997537946,True,Camden,Other,Sweet Gum,,,Unknown,,,,,20180214,20210218
144,872,1911,872_1911,2.7063539516342754,375027,51.519430696964434,-0.132250003516581,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
147,872,1912,872_1912,4.1215688397409265,375028,51.51940479874624,-0.1323131024837548,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
148,879,1894,879_1894,3.811197035917592,375010,51.51936279982329,-0.1327256038784855,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
149,880,1894,880_1894,4.813232470394004,375010,51.51936279982329,-0.1327256038784855,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
150,881,1895,881_1895,3.34843537343425,375011,51.51941839605579,-0.1326023042201962,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
151,882,1895,882_1895,4.762873110128438,375011,51.51941839605579,-0.1326023042201962,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
145,887,1911,887_1911,2.628950546488697,375027,51.519430696964434,-0.132250003516581,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
152,888,1914,888_1914,4.16604427606488,375030,51.51947149634376,-0.1321576014160058,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
146,888,1911,888_1911,3.703761919666468,375027,51.519430696964434,-0.132250003516581,True,Camden,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,,Unknown,,,,,20180214,20210218
