,Air measurement,Tree number_x,Air-tree ID,Distance to tree,objectid,lat,lon,Tree within d (default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
297,7,204,7_204,16.266881872300587,67837,51.480339497327776,-0.0591628029941726,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,12.0,43.0,,20201127,20210218
313,7,219,7_219,14.156668798455783,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
339,7,222,7_222,12.899902464456133,76726,51.48056779801843,-0.0593691021203827,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,16.0,54.0,,20201127,20210218
340,8,222,8_222,15.00592487234599,76726,51.48056779801843,-0.0593691021203827,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,16.0,54.0,,20201127,20210218
314,8,219,8_219,11.768083783385151,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
298,8,204,8_204,14.37707062095646,67837,51.480339497327776,-0.0591628029941726,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,12.0,43.0,,20201127,20210218
299,9,204,9_204,13.448382828454509,67837,51.480339497327776,-0.0591628029941726,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,12.0,43.0,,20201127,20210218
341,9,222,9_222,16.505783135402517,76726,51.48056779801843,-0.0593691021203827,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,16.0,54.0,,20201127,20210218
315,9,219,9_219,9.746727785538399,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
316,10,219,10_219,7.497328173997786,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
342,10,222,10_222,19.58414558933527,76726,51.48056779801843,-0.0593691021203827,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Mature,Mature(31-80),16.0,16.0,54.0,,20201127,20210218
300,10,204,10_204,11.122101915016636,67837,51.480339497327776,-0.0591628029941726,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,12.0,43.0,,20201127,20210218
301,11,204,11_204,8.92853634312855,67837,51.480339497327776,-0.0591628029941726,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,12.0,43.0,,20201127,20210218
317,11,219,11_219,5.877094138113172,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
302,12,204,12_204,8.227551780963873,67837,51.480339497327776,-0.0591628029941726,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,12.0,43.0,,20201127,20210218
392,12,925,12_925,19.25134000568465,642767,51.48025269806381,-0.0589281022547875,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
318,12,219,12_219,6.69527361142728,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
382,13,236,13_236,18.330988232678774,82440,51.48023609817034,-0.0588936060667156,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,14.0,45.0,,20201127,20210218
393,13,925,13_925,15.501924835969964,642767,51.48025269806381,-0.0589281022547875,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
319,13,219,13_219,9.331094165701277,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
303,13,204,13_204,9.360700891907173,67837,51.480339497327776,-0.0591628029941726,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,12.0,43.0,,20201127,20210218
394,14,925,14_925,13.267695997977443,642767,51.48025269806381,-0.0589281022547875,True,TFL,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
320,14,219,14_219,11.40681105246029,76590,51.48045489937072,-0.059071503579483,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),10.0,11.0,33.0,,20201127,20210218
304,14,204,14_204,12.089989511146722,67837,51.480339497327776,-0.0591628029941726,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,12.0,43.0,,20201127,20210218
383,14,236,14_236,15.901675295199535,82440,51.48023609817034,-0.0588936060667156,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,14.0,45.0,,20201127,20210218
384,15,236,15_236,13.482458380685543,82440,51.48023609817034,-0.0588936060667156,True,Southwark,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,Semi  Mature,Early Mature(16-30),12.0,14.0,45.0,,20201127,20210218
