,Air measurement,Tree number_x,Air-tree ID,Distance to tree,objectid,lat,lon,Tree within d (default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
1332,775,314,775_314,15.459355297589756,274636,51.46318669617185,-0.0122663006186177,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1285,775,49,775_49,19.055475867871497,65408,51.463214099407246,-0.0122939050197033,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1270,775,48,775_48,19.56564543508948,65407,51.46323939412837,-0.0121921002864402,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1316,776,50,776_50,10.158005583851805,65415,51.46318569779407,-0.0122088044881815,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
4343,776,47,776_47,19.50221962376077,65405,51.46326410025369,-0.0120614022016422,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1286,776,49,776_49,15.781883528894202,65408,51.463214099407246,-0.0122939050197033,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1342,776,51,776_51,14.129793982000832,65425,51.46321969479323,-0.0120921060442781,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
1300,776,313,776_313,15.941914806731395,274635,51.463231399655385,-0.0122500061987763,True,Lewisham,Lime,Linden,Tilia,1  Mature,Mature(31-80),,,,,20201127,20210218
1333,776,314,776_314,12.192853026039081,274636,51.46318669617185,-0.0122663006186177,True,Lewisham,Lime,Linden,Tilia,Semi  Mature,Early Mature(16-30),,,,,20201127,20210218
1271,776,48,776_48,15.7016171574689,65407,51.46323939412837,-0.0121921002864402,True,Lewisham,Plane,London Plane,Platanus occidentalis x orientalis = P. x hispanica,1  Young,Young(0-15),1.5,5.0,20.0,,20201127,20210218
