,Air measurement,Tree number_x,Air-tree ID,Distance_to_tree,objectid,lat,lon,Tree_within_d_(default: 20m),borough,gla_tree_group,tree_name,taxon_name,age,age_group,spread_m,height_m,diameter_at_breast_height_cm,gdb_geomattr_data,load_date,updated
0,2,2379,2_2379,9.17074774230113,663364,51.514090299606416,-0.1179767027497296,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
13,2,2380,2_2380,19.638129291035842,663365,51.51400299370292,-0.1179198026656901,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
55,3,2377,3_2377,5.447065801920304,663362,51.5144358947873,-0.1182190030813163,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
23,3,2376,3_2376,13.077698672347104,663361,51.51450959593065,-0.1182722002267607,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
80,3,2378,3_2378,9.033522937928637,663363,51.51434309780607,-0.1181522011755807,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
81,4,2378,4_2378,9.184171945571189,663363,51.51434309780607,-0.1181522011755807,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
1,5,2379,5_2379,4.837539219838925,663364,51.514090299606416,-0.1179767027497296,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
14,5,2380,5_2380,15.316287259125533,663365,51.51400299370292,-0.1179198026656901,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
2,6,2379,6_2379,12.394798661597385,663364,51.514090299606416,-0.1179767027497296,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
15,6,2380,6_2380,3.498579540260667,663365,51.51400299370292,-0.1179198026656901,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
16,7,2380,7_2380,4.70143545749987,663365,51.51400299370292,-0.1179198026656901,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
3,7,2379,7_2379,8.842414565789342,663364,51.514090299606416,-0.1179767027497296,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
4,8,2379,8_2379,5.650230859627097,663364,51.514090299606416,-0.1179767027497296,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
17,8,2380,8_2380,6.41833299442142,663365,51.51400299370292,-0.1179198026656901,True,Westminster,Plane,Plane,Platanus,,Unknown,,,,,20180214,20210218
